date,country,region,accomodation type,price,currency,memo
2022/8/31,Cuba,habana,single room,25,USD,-
2022/9/1,Cuba,habana,single room,8278,JPY,-
2022/9/2,Cuba,habana,single room,8278,JPY,-
2022/9/3,Mexico,Cancun,dormitory,283.5,MXP,-
2022/9/4,Mexico,Cancun,dormitory,283.5,MXP,-
2022/9/5,Mexico,Chetumal,dormitory,185.28,MXP,-
2022/9/6,Belize,Belize city,dormitory,26,USD,-
2022/9/7,Belize,San Ignacio,dormitory,11.25,USD,-
2022/9/8,Belize,San Ignacio,dormitory,11.25,USD,-
2022/9/9,Guatemala,Flores,dormitory,8.57,USD,-
2022/9/10,Guatemala,Flores,dormitory,8.57,USD,-
2022/9/11,Guatemala,Cobán,single room,15.99,USD,-
2022/9/12,Guatemala,Antigua,dormitory,6.65,USD,-
2022/9/13,El Salvador,Santa Ana,dormitory,5.13,USD,-
2022/9/14,El Salvador,Santa Ana,dormitory,5.13,USD,-
2022/9/15,El Salvador,Santa Ana,dormitory,7.14,USD,-
2022/9/16,El Salvador,Santa Ana,dormitory,7.14,USD,-
2022/9/17,El Salvador,El Tunco,dormitory,15,USD,-
2022/9/18,Nicaragua,Leon,dormitory,6,USD,-
2022/9/19,Nicaragua,Leon,dormitory,6,USD,-
2022/9/20,Nicaragua,Managua,dormitory,11,USD,-
2022/9/21,Nicaragua,Guranada,dormitory,6,USD,-
2022/9/22,Nicaragua,Ometepe island,single room,8,USD,-
2022/9/23,Nicaragua,Ometepe island,single room,8,USD,-
2022/9/24,Costa Rica,Liberia,dormitory,10,USD,-
2022/9/25,Costa Rica,Puntarenas,single room,21.64,USD,-
2022/9/26,Costa Rica,Alajuela,single room,30,USD,-
2022/9/27,Costa Rica,San José,dormitory,9.26,USD,-
2022/9/28,Panama,PalmarNorte,single room,28,USD,-
2022/9/29,Panama,David,dormitory,12,USD,-
2022/9/30,Panama,David,dormitory,12,USD,-
2022/10/1,Panama,Boquete,dormitory,10,USD,-
2022/10/2,Panama,Santiago de Veraguas,dormitory,14.42,USD,-
2022/10/3,Panama,Santa Catalina,dormitory,14.85,USD,-
2022/10/4,Panama,Santa Catalina,dormitory,14.85,USD,-
2022/10/5,Panama,Santiago de Veraguas,dormitory,14.42,USD,-
2022/10/6,Panama,Panama City,dormitory,10.22,USD,-
2022/10/7,Panama,Panama City,dormitory,10.22,USD,-
2022/10/8,Colombia,Panama City,dormitory,10.22,USD,-
2022/10/9,Colombia,Bogota,single room,22,USD,
2022/10/10,Colombia,Bogota,dormitory,24300,COP,
2022/10/11,Colombia,Villa de Leyva,dormitory,5.05,USD,
2022/10/12,Colombia,Villa de Leyva,dormitory,5.05,USD,
2022/10/13,Colombia,Zipaquirá ,single room,14.22,USD,
2022/10/14,Colombia,Melgar,single room,200000,COP,
2022/10/15,Colombia,Ibage,dormitory,56000,COP,
2022/10/16,Colombia,Ibage,dormitory,56000,COP,
2022/10/17,Colombia,Pereira,dormitory,10.51,USD,
2022/10/18,Colombia,kari,dormitory,6.47,USD,
2022/10/19,Colombia,kari,dormitory,6.47,USD,
2022/10/20,Colombia,Manizales,dormitory,10.28,USD,
2022/10/21,Colombia,Honda,single room,60000,COP,
2022/10/22,Colombia,Bogota,dormitory,5.59,USD,
2022/10/23,Colombia,Bogota,dormitory,5.59,USD,
2022/10/24,Ecuador,Quito,dormitory,6.3,USD,
2022/10/25,Ecuador,Quito,dormitory,6.3,USD,
2022/10/26,Ecuador,ibara,single room,8.1,USD,
2022/10/27,Ecuador,Otavalo,dormitory,8.5,USD,
2022/10/28,Ecuador,Otavalo,dormitory,8.5,USD,
2022/10/29,Ecuador,Quito,dormitory,5.4,USD,
2022/10/30,Ecuador,Santo Domingo,single room,10.8,USD,
2022/10/31,Ecuador,manta,single room,10,USD,
2022/11/1,Ecuador,Salinas,dormitory,7,USD,
2022/11/2,Ecuador,Santiago de Guayaquil,dormitory,9,USD,
2022/11/3,Ecuador,Santiago de Guayaquil,dormitory,9,USD,
2022/11/4,Ecuador,riobamba,single room,10.3,USD,
2022/11/5,Ecuador,arausi,dormitory,10,USD,
2022/11/6,Ecuador,Cuenca,dormitory,6.3,USD,
2022/11/7,Ecuador,Cuenca,dormitory,6.3,USD,
2022/11/8,Peru,Tumbes,single room,25,USD,
2022/11/9,Peru,Máncora,dormitory,8.5,USD,
2022/11/10,Peru,Piura,single room,11.48,USD,
2022/11/11,Peru,Chiclayo,single room,9.72,UD,
2022/11/12,Peru,Cajamarca,dormitory,3.83,USD,
2022/11/13,Peru,Cajamarca,dormitory,4.59,USD,
2022/11/14,Peru,Trujillo,dormitory,6.5,USD,
2022/11/15,Peru,Trujillo,dormitory,6.5,USD,
2022/11/16,Peru,Huaraz,dormitory,3,USD,
2022/11/17,Peru,Huaraz,dormitory,3,USD,
2022/11/18,Peru,Lima,dormitory,7.22,USD,
2022/11/19,Peru,Lima,dormitory,7.22,USD,
2022/11/20,Peru,Ika,dormitory,5.95,USD,
2022/11/21,Peru,Nazca,dormitory,8.1,USD,
2022/11/22,Peru,Nazca,dormitory,8.1,USD,
2022/11/23,Peru,-,bus,-,-,
2022/11/24,Peru,Arequipa,dormitory,6,USD,
2022/11/25,Peru,Arequipa,dormitory,6,USD,
2022/11/26,Chile,Arica,dormitory,12.102,CLP,
2022/11/27,Chile,Arica,dormitory,12.102,CLP,
2022/11/28,Chile,Iquique,dormitory,14,USD,
2022/11/29,Chile,Iquique,dormitory,14,USD,
2022/11/30,Chile,Antofagasta,single room,20.306,CLP,
2022/12/1,Chile,La Serena,single room,18.439,CLP,
2022/12/2,Chile,La Serena,dormitory,16.19,CLP,
2022/12/3,Chile,Santiago de Chile,dormitory,11.83,CLP,
2022/12/4,Chile,Santiago de Chile,dormitory,11.83,CLP,
2022/12/5,Chile,Santiago de Chile,dormitory,11.83,CLP,
2022/12/6,Chile,Copiapó,single room,18.813,CLP,
2022/12/7,Chile,Antofagasta,single room,20.306,CLP,
2022/12/8,Chile,San Pedro de Atacama,dormitory,11.637,CLP,
2022/12/9,Chile,San Pedro de Atacama,dormitory,11.637,CLP,
2022/12/10,Chile,Calama,single room,12.93,CLP,
2022/12/11,Bolivia,Uyuni,dormitory,10.87,USD,
2022/12/12,Bolivia,Uyuni,dormitory,10.87,USD,
2022/12/13,Bolivia,Potosí,single room,13.04,USD,
2022/12/14,Bolivia,Sucre,dormitory,7.96,USD,
2022/12/15,Bolivia,Sucre,dormitory,7.96,USD,
2022/12/16,Bolivia,-,bus,-,-,
2022/12/17,Bolivia,La Paz,dormitory,6.89,USD,
2022/12/18,Bolivia,La Paz,dormitory,6.89,USD,
2022/12/19,Bolivia,Copacabana,single room,5.5,USD,
2022/12/20,peru,Puno,dormitory,5.76,USD,
2022/12/21,peru,Puno,dormitory,5.76,USD,
2022/12/22,Bolivia,La Paz,dormitory,8.75,USD,
2022/12/23,Bolivia,Ciudad de Cochabamba,dormitory,11.5,USD,
2022/12/24,Bolivia,Ciudad de Cochabamba,dormitory,11.5,USD,
2022/12/25,Bolivia,Ciudad de Cochabamba,dormitory,11.5,USD,
