JPY,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec,24-Jan,24-Feb,24-Mar,24-Apr
"USD																		",129.84,128.7,135.75,133.2,138.94,144.78,148.74,137.87,131.03,130.18,136.14,132.79,136.28,139.34,144.32,142.28,145.52,149.35,151.69,148.25,141,147.23,149.91,151.35,157.79
"EUR																			",136.93,138.14,142.3,136.2,139.68,141.98,146.98,143.63,142.49,141.49,144.06,143.98,150.08,148.93,157.45,156.44,157.79,157.93,160.42,161.33,155.68,159.05,162.03,163.22,168.23
"AUD																						",92.36,92.36,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69
"CZK																									",6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"TND																									",47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2,47.2
"CLP																									",0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
"TRY																									",5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,4.87,4.87,4.87,4.87,4.87
"NIO																									",3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93
"HUF																									",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"PYG																									",0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
"PHP																									",2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69
"BRL																									",81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57,81.57
"BGN																									",80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48,80.48
"VND																									",0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061
"PEN																									",35.71,35.71,35.71,35.71,35.71,35.71,35.71,35.71,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87
"BAM																									",19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22,19.22
"BOB																									",80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84
"PLN																									",35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22,35.22
"MKD																									",2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53
"MDL																									",8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37,8.37
"MAD																									",14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38
"RON																									",32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93
"TWD																									",0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
"KRW																									",0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
"HKD																									",19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36,19.36
